date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:02:37	29388/29388	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2014:02:52%20GMT	https://tradespherefinance.com/	C:/My%20Web%20Sites/`tradespherefinance/tradespherefinance.com/index.html	(from )
15:02:37	179/179	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Apr%202025%2014:02:51%20GMT	https://tradespherefinance.com/robots.txt		(from )
15:02:37	1275/1275	---M-Z	200	added ('OK')	application/json	date:Sat,%2030%20Mar%202024%2022:22:10%20GMT	https://tradespherefinance.com/static/ravencoinfinance/assets/images/pwa/manifest.json	C:/My%20Web%20Sites/`tradespherefinance/tradespherefinance.com/static/ravencoinfinance/assets/images/pwa/manifest.json	(from https://tradespherefinance.com/)
15:02:38	4146/4146	---M-Z	200	added ('OK')	image/x-icon	date:Sat,%2030%20Mar%202024%2022:22:10%20GMT	https://tradespherefinance.com/static/ravencoinfinance/assets/images/pwa/favicon.ico	C:/My%20Web%20Sites/`tradespherefinance/tradespherefinance.com/static/ravencoinfinance/assets/images/pwa/favicon.ico	(from https://tradespherefinance.com/)
15:02:38	202036/202036	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20Mar%202024%2022:22:10%20GMT	https://tradespherefinance.com/static/ravencoinfinance/assets/css/site/reactapp-modules.css	C:/My%20Web%20Sites/`tradespherefinance/tradespherefinance.com/static/ravencoinfinance/assets/css/site/reactapp-modules.css	(from https://tradespherefinance.com/)
15:02:39	42118/42118	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20Mar%202024%2022:22:04%20GMT	https://tradespherefinance.com/static/ravencoinfinance/assets/css/libs/flag-icon-css/css/flag-icon.min.css	C:/My%20Web%20Sites/`tradespherefinance/tradespherefinance.com/static/ravencoinfinance/assets/css/libs/flag-icon-css/css/flag-icon.min.css	(from https://tradespherefinance.com/)
15:02:39	3222/3222	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Mar%202024%2022:22:10%20GMT	https://tradespherefinance.com/static/ravencoinfinance/assets/images/pwa/favicon-16x16.png	C:/My%20Web%20Sites/`tradespherefinance/tradespherefinance.com/static/ravencoinfinance/assets/images/pwa/favicon-16x16.png	(from https://tradespherefinance.com/)
15:02:39	3941/3941	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Mar%202024%2022:22:10%20GMT	https://tradespherefinance.com/static/ravencoinfinance/assets/images/pwa/favicon-32x32.png	C:/My%20Web%20Sites/`tradespherefinance/tradespherefinance.com/static/ravencoinfinance/assets/images/pwa/favicon-32x32.png	(from https://tradespherefinance.com/)
15:02:39	4654/4654	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Mar%202024%2022:22:10%20GMT	https://tradespherefinance.com/static/ravencoinfinance/assets/images/pwa/favicon-48x48.png	C:/My%20Web%20Sites/`tradespherefinance/tradespherefinance.com/static/ravencoinfinance/assets/images/pwa/favicon-48x48.png	(from https://tradespherefinance.com/)
15:02:40	5074/5074	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Mar%202024%2022:22:10%20GMT	https://tradespherefinance.com/static/ravencoinfinance/assets/images/pwa/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/`tradespherefinance/tradespherefinance.com/static/ravencoinfinance/assets/images/pwa/apple-touch-icon-57x57.png	(from https://tradespherefinance.com/)
15:02:40	5263/5263	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Mar%202024%2022:22:10%20GMT	https://tradespherefinance.com/static/ravencoinfinance/assets/images/pwa/apple-touch-icon-60x60.png	C:/My%20Web%20Sites/`tradespherefinance/tradespherefinance.com/static/ravencoinfinance/assets/images/pwa/apple-touch-icon-60x60.png	(from https://tradespherefinance.com/)
15:02:40	5812/5812	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Mar%202024%2022:22:10%20GMT	https://tradespherefinance.com/static/ravencoinfinance/assets/images/pwa/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/`tradespherefinance/tradespherefinance.com/static/ravencoinfinance/assets/images/pwa/apple-touch-icon-72x72.png	(from https://tradespherefinance.com/)
